IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.154.172.150,443,true,FRA,Europe,Frankfurt,242 ms,7047 kB/s
34.154.97.96,443,true,FRA,Europe,Frankfurt,238 ms,6997 kB/s
34.154.164.148,443,true,FRA,Europe,Frankfurt,246 ms,6846 kB/s
34.89.248.119,443,true,FRA,Europe,Frankfurt,240 ms,6793 kB/s
34.65.216.72,443,true,FRA,Europe,Frankfurt,251 ms,6694 kB/s
34.154.9.153,443,true,FRA,Europe,Frankfurt,243 ms,6620 kB/s
35.197.23.75,443,true,SEA,North America,Seattle,203 ms,6495 kB/s
34.65.85.165,443,true,FRA,Europe,Frankfurt,248 ms,6382 kB/s
35.198.83.199,443,true,FRA,Europe,Frankfurt,247 ms,6296 kB/s
34.118.47.106,443,true,FRA,Europe,Frankfurt,270 ms,6258 kB/s
35.242.217.81,443,true,FRA,Europe,Frankfurt,249 ms,6251 kB/s
34.118.65.97,443,true,FRA,Europe,Frankfurt,254 ms,6205 kB/s
34.32.255.76,443,true,FRA,Europe,Frankfurt,241 ms,6203 kB/s
34.65.35.144,443,true,FRA,Europe,Frankfurt,251 ms,6158 kB/s
34.118.51.76,443,true,FRA,Europe,Frankfurt,253 ms,6068 kB/s
34.116.249.57,443,true,FRA,Europe,Frankfurt,258 ms,6049 kB/s
34.118.57.241,443,true,FRA,Europe,Frankfurt,274 ms,6043 kB/s
35.204.87.166,443,true,FRA,Europe,Frankfurt,250 ms,5962 kB/s
34.65.111.170,443,true,FRA,Europe,Frankfurt,240 ms,5892 kB/s
34.118.110.180,443,true,FRA,Europe,Frankfurt,250 ms,5887 kB/s
34.154.18.33,443,true,FRA,Europe,Frankfurt,241 ms,5871 kB/s
34.141.194.63,443,true,FRA,Europe,Frankfurt,249 ms,5851 kB/s
34.65.173.34,443,true,FRA,Europe,Frankfurt,239 ms,5797 kB/s
35.198.190.148,443,true,FRA,Europe,Frankfurt,242 ms,5777 kB/s
34.159.167.25,443,true,FRA,Europe,Frankfurt,239 ms,5675 kB/s
34.32.207.31,443,true,FRA,Europe,Frankfurt,244 ms,5613 kB/s
34.118.25.40,443,true,FRA,Europe,Frankfurt,262 ms,5583 kB/s
34.118.114.231,443,true,FRA,Europe,Frankfurt,256 ms,5528 kB/s
34.154.230.148,443,true,FRA,Europe,Frankfurt,233 ms,5514 kB/s
34.116.151.200,443,true,FRA,Europe,Frankfurt,280 ms,5477 kB/s
34.116.189.118,443,true,FRA,Europe,Frankfurt,273 ms,5349 kB/s
34.105.49.234,443,true,SEA,North America,Seattle,194 ms,5265 kB/s
35.246.232.111,443,true,FRA,Europe,Frankfurt,237 ms,5232 kB/s
34.65.113.46,443,true,FRA,Europe,Frankfurt,241 ms,5223 kB/s
34.89.158.25,443,true,FRA,Europe,Frankfurt,255 ms,5189 kB/s
34.116.193.101,443,true,FRA,Europe,Frankfurt,262 ms,5099 kB/s
34.159.23.226,443,true,FRA,Europe,Frankfurt,248 ms,5023 kB/s
34.118.91.9,443,true,FRA,Europe,Frankfurt,264 ms,4971 kB/s
34.116.139.71,443,true,FRA,Europe,Frankfurt,256 ms,4939 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,257 ms,4917 kB/s
34.116.206.219,443,true,FRA,Europe,Frankfurt,265 ms,4909 kB/s
35.230.79.26,443,true,SEA,North America,Seattle,202 ms,4869 kB/s
34.118.37.232,443,true,FRA,Europe,Frankfurt,266 ms,4751 kB/s
34.154.197.8,443,true,FRA,Europe,Frankfurt,261 ms,4677 kB/s
34.116.221.87,443,true,FRA,Europe,Frankfurt,263 ms,4674 kB/s
34.154.228.76,443,true,FRA,Europe,Frankfurt,228 ms,4620 kB/s
34.107.122.127,443,true,FRA,Europe,Frankfurt,244 ms,4615 kB/s
35.246.232.231,443,true,FRA,Europe,Frankfurt,237 ms,4563 kB/s
34.107.106.55,443,true,FRA,Europe,Frankfurt,241 ms,4514 kB/s
34.118.52.240,443,true,FRA,Europe,Frankfurt,269 ms,4444 kB/s
