IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.242.217.81,443,true,FRA,Europe,Frankfurt,257 ms,5227 kB/s
34.89.146.12,443,true,FRA,Europe,Frankfurt,238 ms,5216 kB/s
35.198.149.218,443,true,FRA,Europe,Frankfurt,245 ms,4978 kB/s
34.65.12.249,443,true,FRA,Europe,Frankfurt,246 ms,4943 kB/s
34.65.183.231,443,true,FRA,Europe,Frankfurt,246 ms,4924 kB/s
34.65.235.106,443,true,FRA,Europe,Frankfurt,234 ms,4815 kB/s
34.116.181.113,443,true,FRA,Europe,Frankfurt,261 ms,4762 kB/s
35.204.238.127,443,true,FRA,Europe,Frankfurt,250 ms,4748 kB/s
34.159.84.211,443,true,FRA,Europe,Frankfurt,258 ms,4687 kB/s
34.159.23.226,443,true,FRA,Europe,Frankfurt,252 ms,4663 kB/s
34.154.209.117,443,true,FRA,Europe,Frankfurt,248 ms,4622 kB/s
34.116.161.88,443,true,FRA,Europe,Frankfurt,266 ms,4600 kB/s
34.116.241.55,443,true,FRA,Europe,Frankfurt,254 ms,4533 kB/s
34.154.12.126,443,true,FRA,Europe,Frankfurt,241 ms,4510 kB/s
34.118.17.193,443,true,FRA,Europe,Frankfurt,254 ms,4450 kB/s
34.154.91.17,443,true,FRA,Europe,Frankfurt,237 ms,4368 kB/s
35.198.112.191,443,true,FRA,Europe,Frankfurt,254 ms,4334 kB/s
34.159.166.240,443,true,FRA,Europe,Frankfurt,253 ms,4329 kB/s
34.118.5.226,443,true,FRA,Europe,Frankfurt,261 ms,4231 kB/s
34.107.80.187,443,true,FRA,Europe,Frankfurt,251 ms,4191 kB/s
34.154.134.249,443,true,FRA,Europe,Frankfurt,250 ms,4155 kB/s
34.118.46.218,443,true,FRA,Europe,Frankfurt,264 ms,4039 kB/s
34.141.119.103,443,true,FRA,Europe,Frankfurt,248 ms,4032 kB/s
34.34.21.120,443,true,FRA,Europe,Frankfurt,271 ms,3989 kB/s
34.154.58.89,443,true,FRA,Europe,Frankfurt,231 ms,3979 kB/s
34.116.251.75,443,true,FRA,Europe,Frankfurt,259 ms,3967 kB/s
34.89.150.139,443,true,FRA,Europe,Frankfurt,237 ms,3909 kB/s
34.118.115.155,443,true,FRA,Europe,Frankfurt,260 ms,3852 kB/s
34.159.73.193,443,true,FRA,Europe,Frankfurt,252 ms,3843 kB/s
34.118.26.158,443,true,FRA,Europe,Frankfurt,264 ms,3769 kB/s
35.246.178.139,443,true,FRA,Europe,Frankfurt,243 ms,3766 kB/s
34.116.222.28,443,true,FRA,Europe,Frankfurt,247 ms,3735 kB/s
34.118.7.22,443,true,FRA,Europe,Frankfurt,248 ms,3705 kB/s
34.116.153.230,443,true,FRA,Europe,Frankfurt,277 ms,3639 kB/s
34.141.210.184,443,true,FRA,Europe,Frankfurt,246 ms,3549 kB/s
34.118.17.210,443,true,FRA,Europe,Frankfurt,261 ms,3499 kB/s
35.246.174.134,443,true,FRA,Europe,Frankfurt,246 ms,3458 kB/s
34.141.6.85,443,true,FRA,Europe,Frankfurt,261 ms,3452 kB/s
34.141.68.141,443,true,FRA,Europe,Frankfurt,244 ms,3360 kB/s
34.154.8.174,443,true,FRA,Europe,Frankfurt,245 ms,3305 kB/s
34.147.39.146,443,true,FRA,Europe,Frankfurt,246 ms,3288 kB/s
34.116.139.71,443,true,FRA,Europe,Frankfurt,262 ms,3269 kB/s
34.116.195.230,443,true,FRA,Europe,Frankfurt,260 ms,3243 kB/s
35.204.163.9,443,true,FRA,Europe,Frankfurt,250 ms,3157 kB/s
34.116.128.178,443,true,FRA,Europe,Frankfurt,263 ms,3154 kB/s
34.82.76.253,443,true,SEA,North America,Seattle,200 ms,3049 kB/s
34.154.192.208,443,true,FRA,Europe,Frankfurt,253 ms,3017 kB/s
34.91.177.185,443,true,FRA,Europe,Frankfurt,246 ms,2975 kB/s
34.154.132.139,443,true,FRA,Europe,Frankfurt,241 ms,2975 kB/s
34.118.57.241,443,true,FRA,Europe,Frankfurt,261 ms,2965 kB/s
34.118.5.47,443,true,FRA,Europe,Frankfurt,273 ms,2882 kB/s
34.105.49.234,443,true,SEA,North America,Seattle,202 ms,2741 kB/s
34.118.11.228,443,true,FRA,Europe,Frankfurt,249 ms,2658 kB/s
34.154.12.224,443,true,FRA,Europe,Frankfurt,253 ms,2649 kB/s
34.116.147.82,443,true,FRA,Europe,Frankfurt,279 ms,2623 kB/s
34.107.106.55,443,true,FRA,Europe,Frankfurt,255 ms,2487 kB/s
34.154.82.65,443,true,FRA,Europe,Frankfurt,241 ms,2424 kB/s
34.118.51.1,443,true,FRA,Europe,Frankfurt,251 ms,2409 kB/s
34.159.254.106,443,true,FRA,Europe,Frankfurt,243 ms,2319 kB/s
34.154.0.39,443,true,FRA,Europe,Frankfurt,233 ms,2135 kB/s
34.159.63.65,443,true,FRA,Europe,Frankfurt,250 ms,2076 kB/s
34.154.121.217,443,true,FRA,Europe,Frankfurt,251 ms,2050 kB/s
35.197.23.75,443,true,SEA,North America,Seattle,218 ms,2047 kB/s
34.65.221.128,443,true,FRA,Europe,Frankfurt,238 ms,2044 kB/s
34.141.192.245,443,true,FRA,Europe,Frankfurt,270 ms,1999 kB/s
34.65.143.247,443,true,FRA,Europe,Frankfurt,245 ms,1961 kB/s
34.90.237.95,443,true,FRA,Europe,Frankfurt,264 ms,1959 kB/s
34.159.126.157,443,true,FRA,Europe,Frankfurt,252 ms,1953 kB/s
34.154.213.166,443,true,FRA,Europe,Frankfurt,249 ms,1926 kB/s
34.118.91.9,443,true,FRA,Europe,Frankfurt,256 ms,1921 kB/s
34.154.47.47,443,true,FRA,Europe,Frankfurt,249 ms,1902 kB/s
34.107.28.3,443,true,FRA,Europe,Frankfurt,250 ms,1884 kB/s
34.154.104.177,443,true,FRA,Europe,Frankfurt,238 ms,1881 kB/s
34.118.18.2,443,true,FRA,Europe,Frankfurt,252 ms,1874 kB/s
34.91.136.68,443,true,FRA,Europe,Frankfurt,265 ms,1848 kB/s
34.141.239.181,443,true,FRA,Europe,Frankfurt,255 ms,1836 kB/s
35.246.248.192,443,true,FRA,Europe,Frankfurt,254 ms,1772 kB/s
34.154.189.30,443,true,FRA,Europe,Frankfurt,248 ms,1745 kB/s
34.159.51.38,443,true,FRA,Europe,Frankfurt,251 ms,1740 kB/s
34.118.114.231,443,true,FRA,Europe,Frankfurt,260 ms,1740 kB/s
34.116.205.19,443,true,FRA,Europe,Frankfurt,269 ms,1727 kB/s
34.154.231.167,443,true,FRA,Europe,Frankfurt,262 ms,1711 kB/s
34.65.201.9,443,true,FRA,Europe,Frankfurt,243 ms,1705 kB/s
35.246.128.62,443,true,FRA,Europe,Frankfurt,226 ms,1700 kB/s
34.118.111.208,443,true,FRA,Europe,Frankfurt,258 ms,1651 kB/s
34.159.84.89,443,true,FRA,Europe,Frankfurt,257 ms,1651 kB/s
34.65.223.113,443,true,FRA,Europe,Frankfurt,252 ms,1647 kB/s
34.32.240.34,443,true,FRA,Europe,Frankfurt,243 ms,1641 kB/s
34.154.151.129,443,true,FRA,Europe,Frankfurt,256 ms,1638 kB/s
34.116.143.235,443,true,FRA,Europe,Frankfurt,252 ms,1630 kB/s
34.65.247.9,443,true,FRA,Europe,Frankfurt,236 ms,1615 kB/s
34.118.45.49,443,true,FRA,Europe,Frankfurt,251 ms,1599 kB/s
34.154.157.56,443,true,FRA,Europe,Frankfurt,253 ms,1593 kB/s
34.159.167.25,443,true,FRA,Europe,Frankfurt,250 ms,1580 kB/s
34.118.108.83,443,true,FRA,Europe,Frankfurt,257 ms,1575 kB/s
34.118.79.119,443,true,FRA,Europe,Frankfurt,337 ms,1568 kB/s
34.65.25.114,443,true,FRA,Europe,Frankfurt,245 ms,1564 kB/s
34.116.212.119,443,true,FRA,Europe,Frankfurt,252 ms,1558 kB/s
34.154.230.148,443,true,FRA,Europe,Frankfurt,261 ms,1542 kB/s
34.154.90.70,443,true,FRA,Europe,Frankfurt,242 ms,1532 kB/s
34.154.197.206,443,true,FRA,Europe,Frankfurt,252 ms,1524 kB/s
34.154.196.132,443,true,FRA,Europe,Frankfurt,249 ms,1521 kB/s
34.32.212.100,443,true,FRA,Europe,Frankfurt,238 ms,1447 kB/s
34.118.42.177,443,true,FRA,Europe,Frankfurt,265 ms,1446 kB/s
34.116.221.87,443,true,FRA,Europe,Frankfurt,276 ms,1427 kB/s
34.118.93.127,443,true,FRA,Europe,Frankfurt,251 ms,1420 kB/s
34.90.21.1,443,true,FRA,Europe,Frankfurt,255 ms,1414 kB/s
35.204.39.56,443,true,FRA,Europe,Frankfurt,248 ms,1385 kB/s
34.65.216.72,443,true,FRA,Europe,Frankfurt,250 ms,1324 kB/s
34.118.25.140,443,true,FRA,Europe,Frankfurt,273 ms,1322 kB/s
34.116.128.81,443,true,FRA,Europe,Frankfurt,266 ms,1282 kB/s
34.116.205.246,443,true,FRA,Europe,Frankfurt,258 ms,1249 kB/s
34.118.122.67,443,true,FRA,Europe,Frankfurt,265 ms,1243 kB/s
34.116.166.235,443,true,FRA,Europe,Frankfurt,268 ms,1231 kB/s
35.230.79.26,443,true,SEA,North America,Seattle,199 ms,1219 kB/s
34.154.18.33,443,true,FRA,Europe,Frankfurt,236 ms,1180 kB/s
35.198.162.11,443,true,FRA,Europe,Frankfurt,246 ms,1177 kB/s
34.118.78.109,443,true,FRA,Europe,Frankfurt,264 ms,1148 kB/s
34.118.30.13,443,true,FRA,Europe,Frankfurt,278 ms,1128 kB/s
